FLIPPER_HAT,,,,,,,,,,,,
Mouser No,Mfr. No,Manufacturer,Customer No,Description ,RoHS,Lifecycle,Order Qty.,Price (EUR),Ext.: (EUR),Country of Origin,Assembly Country of Origin,Country of Diffusion
791-RMC1/10K5101DTP,RMC1/10K5101DTP,Kamaya,,Thick Film Resistors - SMD 0805   5K10   0.5%   Lead Free,RoHS Compliant By Exemption,,2,"0,163 ?","0,33 ?",Malaysia,,
652-CR2512AJW-103ELF,CR2512AJW-103ELF,Bourns,,Thick Film Resistors - SMD ResA 2512 10k 5% 1W TC200,RoHS Compliant By Exemption,,9,"0,232 ?","2,09 ?",Taiwan,,
179-CHGMSMT4BP16TR,UJ20-C-H-G-MSMT-4B-P16-TR,Same Sky,,"USB Connectors USB Jack, Type C, 2.0, MSMT, Horizontal, Gold Flash, 16 Pin, TR",RoHS Compliant,New Product,1,"0,404 ?","0,40 ?",China,,
179-TS046665BK260SMT,TS04-66-65-BK-260-SMT,Same Sky,,"Tactile Switches 6 x 6 mm, 6.5 mm Act Height, 260 gf, Black, Surface Mount, SPST,",RoHS Compliant,,2,"0,163 ?","0,33 ?",China,,
81-GRM155D70G106ME8D,GRM155D70G106ME18D,Murata,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 4VDC 10uF 20% X7T,RoHS Compliant,New Product,5,"0,353 ?","1,77 ?",Japan,,
579-M827S302EEBVAO,MCP1827S-3302E/EBVAO,Microchip,,LDO Voltage Regulators 1.5A LDO Regulator,RoHS Compliant,New Product,1,"1,59 ?","1,59 ?",China,,
863-2N7002WT1G,2N7002WT1G,onsemi,,MOSFETs SMALL SIGNAL MOSFET 6.8V LO C,RoHS Compliant,,1,"0,172 ?","0,17 ?",China,China,Taiwan
179-CPT-1775-3TH,CPT-1775-3TH,Same Sky,,"Buzzers & Audio Indicators - Board Mount buzzer, 17 mm x 7.5 mm deep, P, 3 V, 75 dB, Through Hole, Audio Transducer",RoHS Compliant,New Product,1,"0,972 ?","0,97 ?",China,,
356-ESP32S3WRM1N16R8,ESP32-S3-WROOM-1-N16R8,Espressif,,"Multiprotocol Modules SMD module, ESP32-S3R8 with 3.3V, 8 MB Octal PSRAM die inside, 16 MB Quad SPI flash, PCB antenna",RoHS Compliant,,1,"5,80 ?","5,80 ?",China,,
356-ESP32S3WROOM1UN8,ESP32-S3-WROOM-1U-N8,Espressif,,"Multiprotocol Modules SMD module, ESP32-S3, 8 MB SPI flash, IPEX antenna connector",RoHS Compliant,,1,"4,87 ?","4,87 ?",China,,
960-GW.17.07.0250E,GW17.07.0250E,Taoglas,,Antennas IPEX TERMINAL ANTENNA,RoHS Compliant,,1,"11,53 ?","11,53 ?",Taiwan,,
485-5903,5903,Adafruit,,Soldering & Desoldering Stations Mini Brass Hot Plate Preheater with USB-C PD or DC - MHP50-B5,RoHS Compliant,,1,"111,75 ?","111,75 ?",China,,
910-RMA591AX10,RMA591AX10,Chip Quik,,Solder RMA Solder Paste SN63/PB37 T4 (35g Syringe),No,New At Mouser,1,"14,60 ?","14,60 ?",Canada,,
