,,,,,,
Store No,Mfr. No,Description ,Order Qty.,Price (NOK),Ext.: (NOK),link
791-RMC1/10K5101DTP,RMC1/10K5101DTP,Thick Film Resistors - SMD 0805   5K10   0.5%   Lead Free,2,"kr 1,82",3.64,https://no.mouser.com/en/ProductDetail/Kamaya/RMC1-10K5101DTP?qs=GedFDFLaBXG1LvR8QK0EcA%3D%3D
652-CR2512AJW-103ELF,CR2512AJW-103ELF,Thick Film Resistors - SMD ResA 2512 10k 5% 1W TC200,10,"kr 1,08",10.8,https://no.mouser.com/en/ProductDetail/Bourns/CR2512AJW-103ELF?qs=GedFDFLaBXEqggePGBQmuQ%3D%3D
179-CHGMSMT4BP16TR,UJ20-C-H-G-MSMT-4B-P16-TR,"USB Connectors USB Jack, Type C, 2.0, MSMT, Horizontal, Gold Flash, 16 Pin, TR",1,"kr 4,51",4.51,https://no.mouser.com/en/ProductDetail/Same-Sky/UJ20-C-H-G-MSMT-4B-P16-TR?qs=6avfeC6zeS47Lo0obtd7QQ%3D%3D
179-TS046665BK260SMT,TS04-66-65-BK-260-SMT,"Tactile Switches 6 x 6 mm, 6.5 mm Act Height, 260 gf, Black, Surface Mount, SPST,",2,"kr 1,73",3.46,https://no.mouser.com/en/ProductDetail/Same-Sky/TS04-66-65-BK-260-SMT?qs=A6eO%252BMLsxmTvOTHTIBabhQ%3D%3D
81-GRM155D70G106ME8D,GRM155D70G106ME18D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 4VDC 10uF 20% X7T,5,"kr 3,94",19.7,https://no.mouser.com/en/ProductDetail/Murata/GRM155D70G106ME18D?qs=doiCPypUmgEf2sthzNH4lA%3D%3D
579-M827S302EEBVAO,MCP1827S-3302E/EBVAO,LDO Voltage Regulators 1.5A LDO Regulator,1,"kr 17,74",17.74,https://no.mouser.com/en/ProductDetail/Microchip/MCP1827S-3302E-EBVAO?qs=W%2FMpXkg%252BdQ5AjGztZ%252B4L5g%3D%3D
863-2N7002WT1G,2N7002WT1G,MOSFETs SMALL SIGNAL MOSFET 6.8V LO C,1,"kr 1,92",1.92,https://no.mouser.com/en/ProductDetail/onsemi/2N7002WT1G?qs=Jh7l0IbPjidRgzyVQt6Xnw%3D%3D
179-CPT-1775-3TH,CPT-1775-3TH,"Buzzers & Audio Indicators - Board Mount buzzer, 17 mm x 7.5 mm deep, P, 3 V, 75 dB, Through Hole, Audio Transducer",1,"kr 10,85",10.85,https://no.mouser.com/en/ProductDetail/Same-Sky/CPT-1775-3TH?qs=yc9RBI4tIAK9HFcgM%252BStOQ%3D%3D
356-ESP32S3WRM1N16R8,ESP32-S3-WROOM-1-N16R8,"Multiprotocol Modules SMD module, ESP32-S3R8 with 3.3V, 8 MB Octal PSRAM die inside, 16 MB Quad SPI flash, PCB antenna",1,"kr 64,73",64.73,https://no.mouser.com/en/ProductDetail/Espressif/ESP32-S3-WROOM-1-N16R8?qs=Li%252BoUPsLEnvQc9gW6AMhZg%3D%3D
356-ESP32S3WROOM1UN8,ESP32-S3-WROOM-1U-N8,"Multiprotocol Modules SMD module, ESP32-S3, 8 MB SPI flash, IPEX antenna connector",1,"kr 54,35",54.35,https://no.mouser.com/en/ProductDetail/Espressif/ESP32-S3-WROOM-1U-N8?qs=Li%252BoUPsLEntthfxdhgRI1w%3D%3D
960-GW.17.07.0250E,GW17.07.0250E,Antennas IPEX TERMINAL ANTENNA,1,"kr 80,13",80.13,https://no.mouser.com/en/ProductDetail/Taoglas/GW17.07.0250E?qs=AL7xPqYNrmTPXhCuHzQycg%3D%3D
710-693072010801,693072010801,Memory Card Connectors WR-CRD SD Micro Card 8Pin Hinge,1,"kr 32,70",32.7,https://no.mouser.com/en/ProductDetail/Wurth-Elektronik/693072010801?qs=7gQLVZk5cPmw4uU1mAcUFg%3D%3D
910-TS391AX50,TS391AX50,Solder Paste No-Clean 50g Sn63/Pb37 T4,1,"kr 133,92",133.92,https://no.mouser.com/en/ProductDetail/Chip-Quik/TS391AX50?qs=1mbolxNpo8c66lK8U%252Bbg8g%3D%3D
1102910628,---,ALIENTEK HP20 Hot Plate Preheater MINI Heating Plate Soldering Station PD3.1 Digital Constant Temperature 350° Heating Tool 200W,1,kr 1099.74,1099.74,ALIENTEK HP20 Hot Plate Preheater MINI Heating Plate Soldering Station PD3.1 Digital Constant Temperature 350° Heating Tool 200W - AliExpress
---,---,PCB and smd stencil including shipping,1,kr 400,400.00,JLCPCB Shopping Cart | Secure Checkout for Your Orders
,,shipping estimate and tax Mouser,---,---,459.61,
,,shipping estimate AliExpress,---,---,31.42,
