"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5";"CAPC1005X70N";5;"GRM155D70G106ME18D";;;
2;"flash_IC3, RESET_IC2";"TS046665BK260SMT";2;"TS04-66-65-BK-260-SMT";;;
3;"IC1";"MCP1827S3302EEBVAO";1;"MCP1827S-3302E_EBVAO";;;
4;"J1";"UJ20CHGMSMT4BP16TR";1;"UJ20-C-H-G-MSMT-4B-P16-TR";;;
5;"J2";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
6;"J3";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
7;"LS1";"CPT17753TH";1;"CPT-1775-3TH";;;
8;"Q1";"SOT65P220X100-3N";1;"2N7002WT1G";;;
9;"R1, R2, R3, R4, R5, R6, R8, R9, R11";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";9;"10k";;;
10;"R7, R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
11;"U1, U2";"ESP32-S3-WROOM-1";2;"ESP32-S3-WROOM-1";;;
